cmd,cli,file,nodes,yang_path,action,phase,pr
address_family_evpn_cmd,address-family l2vpn evpn,bgpd/bgp_vty.c,BGP_NODE,MISSING,add,5-evpn,
address_family_ipv4_safi_cmd,address-family ipv4 [<unicast|multicast|vpn|labeled-unicast|flowspec|unreachability>],bgpd/bgp_vty.c,BGP_NODE,MISSING,add,1-globals,
address_family_ipv6_safi_cmd,address-family ipv6 [<unicast|multicast|vpn|labeled-unicast|flowspec|unreachability>],bgpd/bgp_vty.c,BGP_NODE,MISSING,add,1-globals,
address_family_link_state_cmd,address-family link-state [link-state],bgpd/bgp_vty.c,BGP_NODE,MISSING,add,6-srv6-ls-upa-fs,
address_family_vpnv4_cmd,address-family vpnv4 [unicast],bgpd/bgp_vty.c,BGP_NODE,MISSING,add,1-globals,
address_family_vpnv6_cmd,address-family vpnv6 [unicast],bgpd/bgp_vty.c,BGP_NODE,MISSING,add,1-globals,
af_import_vrf_route_map_cmd,import vrf route-map RMAP$rmap_str,bgpd/bgp_vty.c,BGP_IPV4_NODE;BGP_IPV6_NODE,PARTIAL,fix,4-network-vpn,
af_label_vpn_export_allocation_mode_cmd,[no$no] label vpn export allocation-mode <per-vrf$label_per_vrf|per-nexthop$label_per_nh>,bgpd/bgp_vty.c,BGP_IPV4_NODE;BGP_IPV6_NODE,MISSING,add,4-network-vpn,
af_label_vpn_export_cmd,[no] label vpn export <(0-1048575)$label_val|auto$label_auto>,bgpd/bgp_vty.c,BGP_IPV4_NODE;BGP_IPV6_NODE,MISSING,add,4-network-vpn,
af_nexthop_vpn_export_cmd,[no] nexthop vpn export [<A.B.C.D|X:X::X:X>$nexthop_su],bgpd/bgp_vty.c,BGP_IPV4_NODE;BGP_IPV6_NODE,MISSING,add,1-globals,
af_no_import_vrf_route_map_cmd,no import vrf route-map [RMAP$rmap_str],bgpd/bgp_vty.c,BGP_IPV4_NODE;BGP_IPV6_NODE,PARTIAL,fix,4-network-vpn,
af_no_label_vpn_export_cmd,no label vpn export,bgpd/bgp_vty.c,BGP_IPV4_NODE;BGP_IPV6_NODE,MISSING,add,4-network-vpn,
af_no_rd_vpn_export_cmd,no rd vpn export,bgpd/bgp_vty.c,BGP_IPV4_NODE;BGP_IPV6_NODE,MISSING,add,4-network-vpn,
af_no_route_map_vpn_imexport_cmd,no route-map vpn <import|export>$direction_str,bgpd/bgp_vty.c,BGP_IPV4_NODE;BGP_IPV6_NODE,PARTIAL,fix,1-globals,
af_no_rt_vpn_imexport_cmd,no <rt|route-target> vpn <import|export|both>$direction_str,bgpd/bgp_vty.c,BGP_IPV4_NODE;BGP_IPV6_NODE,MISSING,add,1-globals,
af_rd_vpn_export_cmd,[no] rd vpn export ASN:NN_OR_IP-ADDRESS:NN$rd_str,bgpd/bgp_vty.c,BGP_IPV4_NODE;BGP_IPV6_NODE,MISSING,add,4-network-vpn,
af_route_map_vpn_imexport_cmd,route-map <vpn|evpn|vrf NAME> <import|export> RMAP,bgpd/bgp_vty.c,BGP_IPV4_NODE;BGP_IPV6_NODE,PARTIAL,fix,1-globals,
af_routetarget_import_cmd,[no] <rt|route-target|route-target6|rt6> redirect import RTLIST...,bgpd/bgp_vty.c,BGP_IPV4_NODE;BGP_IPV6_NODE,MISSING,add,1-globals,
af_rt_vpn_imexport_cmd,[no] <rt|route-target> vpn <import|export|both>$direction_str RTLIST...,bgpd/bgp_vty.c,BGP_IPV4_NODE;BGP_IPV6_NODE,MISSING,add,1-globals,
af_sid_vpn_export_cmd,[no] sid vpn export <(1-4294967295)$sid_idx|auto$sid_auto|explicit$sid_explicit X:X::X:X$sid_value>,bgpd/bgp_vty.c,BGP_IPV4_NODE;BGP_IPV6_NODE,MISSING,add,1-globals,
aggregate_addressv4_cmd,[no] aggregate-address <A.B.C.D/M$prefix|A.B.C.D$addr A.B.C.D$mask> [{,bgpd/bgp_route.c,BGP_IPV4L_NODE;BGP_IPV4M_NODE;BGP_IPV4_NODE;BGP_NODE,PARTIAL,fix,4-network-vpn,
aggregate_addressv6_cmd,[no] aggregate-address X:X::X:X/M$prefix [{,bgpd/bgp_route.c,BGP_IPV6L_NODE;BGP_IPV6_NODE,PARTIAL,fix,4-network-vpn,
bgp_administrative_reset_cmd,[no$no] bgp hard-administrative-reset,bgpd/bgp_vty.c,BGP_NODE,MISSING,add,8-filter-rmap,
bgp_advertisement_delay_cmd,advertisement-delay (1-3600)$delay,bgpd/bgp_vty.c,BGP_NODE,MISSING,add,1-globals,
bgp_af_nexthop_prefer_global_cmd,[no] nexthop prefer-global,bgpd/bgp_vty.c,BGP_IPV6L_NODE;BGP_IPV6M_NODE;BGP_IPV6_NODE,MISSING,add,1-globals,
bgp_allow_martian_cmd,[no]$no bgp allow-martian-nexthop,bgpd/bgp_vty.c,BGP_NODE,MISSING,add,1-globals,
bgp_always_compare_med_cmd,bgp always-compare-med,bgpd/bgp_vty.c,BGP_NODE,PARTIAL,fix,1-globals,
bgp_as_path_cmd,bgp as-path access-list AS_PATH_FILTER_NAME [seq (0-4294967295)] <deny|permit> LINE...,bgpd/bgp_filter.c,CONFIG_NODE,MISSING,add,8-filter-rmap,
bgp_bestpath_aigp_cmd,[no$no] bgp bestpath aigp,bgpd/bgp_vty.c,BGP_NODE,PARTIAL,fix,1-globals,
bgp_bestpath_aspath_confed_cmd,bgp bestpath as-path confed,bgpd/bgp_vty.c,BGP_NODE,PARTIAL,fix,1-globals,
bgp_bestpath_aspath_ignore_cmd,bgp bestpath as-path ignore,bgpd/bgp_vty.c,BGP_NODE,PARTIAL,fix,1-globals,
bgp_bestpath_aspath_multipath_relax_cmd,bgp bestpath as-path multipath-relax [<as-set|no-as-set>],bgpd/bgp_vty.c,BGP_NODE,PARTIAL,fix,1-globals,
bgp_bestpath_bw_cmd,bgp bestpath bandwidth <ignore|skip-missing|default-weight-for-missing>$bw_cfg,bgpd/bgp_vty.c,BGP_NODE,PARTIAL,fix,1-globals,
bgp_bestpath_compare_router_id_cmd,bgp bestpath compare-routerid,bgpd/bgp_vty.c,BGP_NODE,PARTIAL,fix,1-globals,
bgp_bestpath_med_cmd,bgp bestpath med <confed [missing-as-worst]|missing-as-worst [confed]>,bgpd/bgp_vty.c,BGP_NODE,PARTIAL,fix,1-globals,
bgp_bestpath_peer_type_multipath_relax_cmd,bgp bestpath peer-type multipath-relax,bgpd/bgp_vty.c,BGP_NODE,PARTIAL,fix,1-globals,
bgp_bestpath_use_imported_attrs_cmd,[no$no] bgp bestpath use-imported-attributes,bgpd/bgp_vty.c,BGP_NODE,PARTIAL,fix,1-globals,
bgp_client_to_client_reflection_cmd,bgp client-to-client reflection,bgpd/bgp_vty.c,BGP_NODE,PARTIAL,fix,1-globals,
bgp_cluster_id_cmd,bgp cluster-id <A.B.C.D|(1-4294967295)>,bgpd/bgp_vty.c,BGP_NODE,PARTIAL,fix,1-globals,
bgp_coalesce_time_cmd,coalesce-time (0-4294967295),bgpd/bgp_vty.c,BGP_NODE,PARTIAL,fix,1-globals,
bgp_community_alias_cmd,[no$no] bgp community alias WORD$community ALIAS_NAME$alias_name,bgpd/bgp_vty.c,CONFIG_NODE,MISSING,add,8-filter-rmap,
bgp_community_list_expanded_all_cmd,bgp community-list <(100-500)|expanded COMMUNITY_LIST_NAME> [seq (0-4294967295)] <deny|permit> AA:NN...,bgpd/bgp_vty.c,CONFIG_NODE,MISSING,add,8-filter-rmap,
bgp_community_list_standard_cmd,bgp community-list <(1-99)|standard COMMUNITY_LIST_NAME> [seq (0-4294967295)] <deny|permit> AA:NN...,bgpd/bgp_vty.c,CONFIG_NODE,MISSING,add,8-filter-rmap,
bgp_condadv_period_cmd,[no$no] bgp conditional-advertisement timer (5-240)$period,bgpd/bgp_vty.c,BGP_NODE,MISSING,add,1-globals,
bgp_confederation_identifier_cmd,bgp confederation identifier ASNUM,bgpd/bgp_vty.c,BGP_NODE,PARTIAL,fix,1-globals,
bgp_confederation_peers_cmd,bgp confederation peers ASNUM...,bgpd/bgp_vty.c,BGP_NODE,PARTIAL,fix,1-globals,
bgp_damp_set_cmd,bgp dampening [(1-45) [(1-20000) (1-50000) (1-255)]],bgpd/bgp_route.c,BGP_IPV4L_NODE;BGP_IPV4M_NODE;BGP_IPV4_NODE;BGP_IPV6L_NODE;BGP_IPV6M_NODE;BGP_IPV6_NODE;BGP_NODE,MISSING,add,4-network-vpn,
bgp_damp_unset_cmd,no bgp dampening [(1-45) [(1-20000) (1-50000) (1-255)]],bgpd/bgp_route.c,BGP_IPV4L_NODE;BGP_IPV4M_NODE;BGP_IPV4_NODE;BGP_IPV6L_NODE;BGP_IPV6M_NODE;BGP_IPV6_NODE;BGP_NODE,MISSING,add,4-network-vpn,
bgp_def_originate_eval_cmd,[no$no] bgp default-originate timer (0-65535)$timer,bgpd/bgp_vty.c,BGP_NODE,MISSING,add,1-globals,
